Attrition,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Age Group,Current Employee,Daily Rate,Distance From Home,Distance Status,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Job Satisfaction Status,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Performance Status,Relationship Satisfaction,Stock Option Level,Total Working Years,Experience Status,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,R&D,Life Sciences,STAFF-1219,Male,Manager,Single,No,2,49,46-55,1,809,17,Very-far,Bachelor's Degree,3,36,3,4,3,Unsatisfied,15379,22384,4,14,3,High,1,0,23,21-30,3,8,7,0,0
No,Travel_Rarely,R&D,Medical,STAFF-1220,Male,Research Scientist,Single,No,2,21,18-25,1,546,33,Very-far,High School,3,97,3,1,4,utterly unsatisfied,3117,26009,1,18,3,High,3,0,3,0-10,3,2,2,2,2
No,Travel_Rarely,R&D,Other,STAFF-1221,Male,Laboratory Technician,Single,No,2,26,26-35,1,652,19,Very-far,Bachelor's Degree,3,100,4,1,1,Very Satisfied,3578,23577,0,12,3,High,4,0,8,0-10,3,7,7,0,7
No,Travel_Rarely,R&D,Medical,STAFF-1222,Male,Laboratory Technician,Single,No,3,35,26-35,1,992,17,Very-far,Bachelor's Degree,4,68,2,1,1,Very Satisfied,2450,21731,1,19,3,High,2,0,3,0-10,3,3,0,1,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-1223,Male,Manufacturing Director,Single,No,2,33,26-35,1,575,25,Very-far,Bachelor's Degree,4,44,2,2,2,Satisfied,4320,24152,1,13,3,High,4,0,5,0-10,3,5,3,0,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-1224,Male,Laboratory Technician,Single,No,2,29,26-35,1,592,19,Very-far,Bachelor's Degree,4,59,3,1,1,Very Satisfied,2062,19384,3,14,3,High,2,0,11,11.- 20,3,3,2,1,2
No,Travel_Rarely,R&D,Technical Degree,STAFF-1225,Male,Research Scientist,Single,No,4,32,26-35,1,529,24,Very-far,Bachelor's Degree,4,78,3,1,1,Very Satisfied,2439,11288,1,14,3,High,4,0,4,0-10,3,4,2,1,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-1226,Male,Research Scientist,Single,No,3,44,36-45,1,1467,20,Very-far,Bachelor's Degree,4,49,3,1,2,Satisfied,3420,21158,1,13,3,High,3,0,6,0-10,2,5,2,1,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-1227,Male,Laboratory Technician,Single,No,3,42,36-45,1,1142,8,Near-by,Bachelor's Degree,4,81,3,1,3,Unsatisfied,3968,13624,4,13,3,High,4,0,8,0-10,3,0,0,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-1228,Male,Research Scientist,Single,No,2,22,18-25,1,581,17,Very-far,Associates Degree,4,63,3,1,3,Unsatisfied,3375,17624,0,12,3,High,4,0,4,0-10,4,3,2,1,2
No,Travel_Rarely,R&D,Other,STAFF-1229,Male,Laboratory Technician,Single,No,6,23,18-25,1,571,27,Very-far,Associates Degree,4,78,3,1,4,utterly unsatisfied,2647,13672,1,13,3,High,3,0,5,0-10,4,5,2,1,4
No,Travel_Rarely,R&D,Medical,STAFF-1230,Male,Research Director,Single,No,2,53,46-55,1,447,24,Very-far,Bachelor's Degree,4,39,4,4,2,Satisfied,16598,19764,4,12,3,High,2,0,35,30 Plus,2,9,8,8,8
No,Travel_Rarely,Sales,Life Sciences,STAFF-1231,Male,Sales Executive,Divorced,No,5,31,26-35,1,326,8,Near-by,Associates Degree,1,31,3,3,4,utterly unsatisfied,10793,8386,1,18,3,High,1,1,13,11.- 20,3,13,7,9,9
No,Travel_Rarely,Sales,Marketing,STAFF-1232,Male,Sales Executive,Divorced,No,2,30,26-35,1,979,15,Far,Associates Degree,3,94,2,3,1,Very Satisfied,7140,3088,2,11,3,High,1,1,12,11.- 20,3,7,7,1,7
No,Travel_Rarely,Sales,Life Sciences,STAFF-1233,Male,Sales Executive,Divorced,No,5,41,36-45,1,930,33,Very-far,Bachelor's Degree,3,57,2,2,2,Satisfied,8938,12227,2,11,3,High,3,1,14,11.- 20,3,5,4,0,4
No,Travel_Rarely,Sales,Medical,STAFF-1234,Male,Sales Executive,Divorced,No,2,34,26-35,1,1239,13,Far,Master's Degree,4,39,3,3,3,Unsatisfied,8628,22914,1,18,3,High,3,1,9,0-10,2,8,7,1,1
No,Travel_Rarely,Sales,Life Sciences,STAFF-1235,Male,Sales Executive,Divorced,No,3,29,26-35,1,1246,19,Very-far,Bachelor's Degree,3,77,2,2,3,Unsatisfied,8620,23757,1,14,3,High,3,2,10,0-10,3,10,7,0,4
No,Travel_Rarely,Sales,Medical,STAFF-1236,Male,Sales Executive,Divorced,No,5,33,26-35,1,392,24,Very-far,Master's Degree,4,93,3,2,4,utterly unsatisfied,5505,3921,1,14,3,High,3,2,6,0-10,3,6,2,0,4
No,Travel_Rarely,Sales,Marketing,STAFF-1237,Male,Sales Executive,Divorced,No,3,48,46-55,1,1221,19,Very-far,Bachelor's Degree,3,96,3,2,1,Very Satisfied,5486,24795,4,11,3,High,1,3,15,11.- 20,3,2,2,2,2
No,Travel_Rarely,Sales,Medical,STAFF-1238,Male,Sales Executive,Married,No,5,40,36-45,1,1342,19,Very-far,Associates Degree,1,47,3,2,1,Very Satisfied,5473,19345,0,12,3,High,4,0,9,0-10,4,8,4,7,1
No,Travel_Rarely,Sales,Life Sciences,STAFF-1239,Male,Sales Executive,Married,No,6,33,26-35,1,1242,8,Near-by,Master's Degree,1,46,3,2,1,Very Satisfied,6392,10589,2,13,3,High,4,1,8,0-10,1,2,2,2,2
No,Travel_Rarely,Sales,Life Sciences,STAFF-1240,Male,Sales Representative,Married,No,1,31,26-35,1,1154,24,Very-far,Associates Degree,1,54,3,1,3,Unsatisfied,3067,6393,0,19,3,High,3,1,3,0-10,3,2,2,1,2
No,Travel_Rarely,Sales,Technical Degree,STAFF-1241,Male,Sales Executive,Married,No,3,31,26-35,1,1003,33,Very-far,Bachelor's Degree,1,51,3,2,3,Unsatisfied,8346,20943,1,19,3,High,3,1,6,0-10,3,5,2,0,2
No,Travel_Rarely,Sales,Medical,STAFF-1242,Male,Sales Representative,Married,No,2,32,26-35,1,234,17,Very-far,Master's Degree,2,68,2,1,2,Satisfied,2269,18024,0,14,3,High,2,1,3,0-10,3,2,2,2,2
No,Travel_Rarely,Sales,Medical,STAFF-1243,Male,Sales Executive,Married,No,2,35,26-35,1,682,18,Very-far,Master's Degree,2,71,3,2,1,Very Satisfied,5561,15975,0,16,3,High,4,1,6,0-10,1,5,3,0,4
No,Travel_Rarely,Sales,Technical Degree,STAFF-1244,Male,Sales Executive,Married,No,3,30,26-35,1,1288,29,Very-far,Master's Degree,3,33,3,3,2,Satisfied,9250,17799,3,12,3,High,2,1,9,0-10,3,4,2,1,3
No,Travel_Rarely,Sales,Life Sciences,STAFF-1245,Male,Sales Executive,Married,No,3,38,36-45,1,1245,14,Far,Bachelor's Degree,3,80,3,2,2,Satisfied,9924,12355,0,11,3,High,4,1,10,0-10,3,9,8,7,7
No,Travel_Rarely,Sales,Life Sciences,STAFF-1246,Male,Sales Executive,Married,No,2,32,26-35,1,371,19,Very-far,Bachelor's Degree,4,80,1,3,3,Unsatisfied,9610,3840,3,13,3,High,3,1,10,0-10,1,4,3,0,2
No,Travel_Rarely,Sales,Life Sciences,STAFF-1247,Male,Sales Representative,Married,No,3,35,26-35,1,660,19,Very-far,High School,4,76,3,1,3,Unsatisfied,2404,16192,1,13,3,High,1,1,1,0-10,3,1,0,0,0
No,Travel_Rarely,Sales,Marketing,STAFF-1248,Male,Sales Executive,Married,No,3,32,26-35,1,601,19,Very-far,Doctoral Degree,4,97,3,2,4,utterly unsatisfied,9204,23343,4,12,3,High,3,1,7,0-10,2,4,3,0,3
No,Travel_Rarely,Sales,Medical,STAFF-1249,Male,Sales Executive,Married,No,3,39,36-45,1,1462,28,Very-far,Bachelor's Degree,4,38,4,3,3,Unsatisfied,8237,4658,2,11,3,High,1,1,11,11.- 20,3,7,6,7,6
No,Travel_Rarely,Sales,Marketing,STAFF-1250,Male,Sales Executive,Married,No,2,37,36-45,1,589,19,Very-far,Associates Degree,2,46,2,2,2,Satisfied,4189,8800,1,14,3,High,1,2,5,0-10,3,5,2,0,3
No,Travel_Rarely,Sales,Marketing,STAFF-1251,Male,Sales Executive,Married,No,1,36,36-45,1,335,17,Very-far,Associates Degree,3,33,2,2,2,Satisfied,5507,16822,2,16,3,High,3,2,12,11.- 20,1,4,2,1,3
No,Travel_Rarely,Sales,Life Sciences,STAFF-1252,Male,Sales Executive,Married,No,3,38,36-45,1,1321,17,Very-far,Master's Degree,4,86,3,2,2,Satisfied,4440,7636,0,15,3,High,1,2,16,11.- 20,3,15,13,5,8
No,Travel_Rarely,Sales,Life Sciences,STAFF-1253,Male,Sales Executive,Married,No,2,30,26-35,1,1358,16,Very-far,High School,4,96,3,2,3,Unsatisfied,5301,2939,8,15,3,High,3,2,4,0-10,2,2,1,2,2
No,Travel_Rarely,Sales,Life Sciences,STAFF-1254,Male,Sales Representative,Single,No,3,38,36-45,1,1404,17,Very-far,Bachelor's Degree,1,59,2,1,1,Very Satisfied,2858,11473,4,14,3,High,1,0,20,11.- 20,2,1,0,0,0
No,Travel_Rarely,Sales,Marketing,STAFF-1255,Male,Sales Executive,Single,No,3,39,36-45,1,119,15,Far,Master's Degree,2,77,3,4,1,Very Satisfied,13341,25098,0,12,3,High,1,0,21,21-30,3,20,8,11,10
No,Travel_Rarely,Sales,Medical,STAFF-1256,Male,Manager,Single,No,3,40,36-45,1,611,19,Very-far,Master's Degree,2,88,3,5,2,Satisfied,19833,4349,1,14,3,High,2,0,21,21-30,2,21,8,12,8
No,Travel_Rarely,Sales,Marketing,STAFF-1257,Male,Sales Executive,Single,No,2,33,26-35,1,217,10,Near-by,Master's Degree,2,43,3,2,3,Unsatisfied,5487,10410,1,14,3,High,2,0,10,0-10,2,10,4,0,9
No,Travel_Rarely,Sales,Medical,STAFF-1258,Male,Sales Executive,Single,No,2,29,26-35,1,469,10,Near-by,Bachelor's Degree,3,42,2,2,3,Unsatisfied,5869,23413,9,11,3,High,3,0,8,0-10,3,5,2,1,4
No,Travel_Rarely,Sales,Medical,STAFF-1259,Male,Sales Executive,Single,No,4,26,26-35,1,572,10,Near-by,Bachelor's Degree,3,46,3,2,4,utterly unsatisfied,4684,9125,1,13,3,High,1,0,5,0-10,3,5,3,1,2
No,Travel_Rarely,Sales,Other,STAFF-1260,Male,Sales Executive,Single,No,2,34,26-35,1,1326,33,Very-far,Bachelor's Degree,4,81,1,2,1,Very Satisfied,4759,15891,3,18,3,High,4,0,15,11.- 20,3,13,9,3,12
No,Travel_Rarely,Sales,Life Sciences,STAFF-1261,Male,Sales Representative,Single,No,3,20,18-25,1,727,19,Very-far,High School,4,54,3,1,1,Very Satisfied,2728,21082,1,11,3,High,1,0,2,0-10,3,2,2,0,2
No,Travel_Rarely,Sales,Medical,STAFF-1262,Male,Sales Executive,Single,No,4,28,26-35,1,866,33,Very-far,Bachelor's Degree,4,84,3,2,1,Very Satisfied,8463,23490,0,18,3,High,4,0,6,0-10,3,5,4,1,3
No,Travel_Rarely,Sales,Marketing,STAFF-1263,Male,Sales Executive,Single,No,3,41,36-45,1,918,28,Very-far,Bachelor's Degree,4,35,3,3,3,Unsatisfied,9241,15869,1,12,3,High,2,0,10,0-10,3,10,8,8,7
No,Travel_Rarely,Sales,Marketing,STAFF-1264,Male,Sales Executive,Single,No,5,27,26-35,1,954,19,Very-far,Bachelor's Degree,4,44,3,2,4,utterly unsatisfied,4105,5099,1,14,3,High,1,0,7,0-10,3,7,7,0,7
No,Travel_Rarely,Sales,Life Sciences,STAFF-1265,Male,Manager,Single,No,5,46,46-55,1,563,17,Very-far,Master's Degree,4,56,4,4,1,Very Satisfied,17567,3156,1,15,3,High,2,0,27,21-30,1,26,0,0,12
No,Non-Travel,R&D,Other,STAFF-1266,Female,Research Scientist,Married,Yes,2,22,18-25,1,457,26,Very-far,Associates Degree,2,85,2,1,3,Unsatisfied,2814,10293,1,14,3,High,2,0,4,0-10,2,4,2,1,3
No,Travel_Frequently,R&D,Medical,STAFF-1267,Female,Research Scientist,Divorced,Yes,3,38,36-45,1,1394,8,Near-by,Bachelor's Degree,4,58,2,2,2,Satisfied,2133,18115,1,16,3,High,3,1,20,11.- 20,3,20,11,0,7
No,Travel_Frequently,R&D,Technical Degree,STAFF-1268,Female,Research Scientist,Single,Yes,2,24,18-25,1,567,24,Very-far,High School,1,32,3,1,4,utterly unsatisfied,3760,17218,1,13,3,High,3,0,6,0-10,3,6,3,1,3
No,Travel_Frequently,R&D,Life Sciences,STAFF-1269,Female,Laboratory Technician,Single,Yes,3,27,26-35,1,1297,33,Very-far,Associates Degree,4,53,3,1,4,utterly unsatisfied,2379,19826,0,14,3,High,3,0,6,0-10,2,5,4,0,2
No,Travel_Rarely,HR,Life Sciences,STAFF-1270,Female,Human Resources,Divorced,Yes,2,44,36-45,1,528,17,Very-far,Bachelor's Degree,3,44,3,1,4,utterly unsatisfied,3195,4167,4,18,3,High,1,3,8,0-10,3,2,2,2,2
No,Travel_Rarely,HR,Life Sciences,STAFF-1271,Female,Human Resources,Single,Yes,2,35,26-35,1,1146,26,Very-far,Master's Degree,3,31,3,3,4,utterly unsatisfied,8837,16642,1,16,3,High,3,0,9,0-10,3,9,0,1,7
No,Travel_Rarely,R&D,Medical,STAFF-1272,Female,Research Director,Divorced,Yes,4,44,36-45,1,1313,19,Very-far,Bachelor's Degree,2,31,3,5,4,utterly unsatisfied,19049,3549,0,14,3,High,4,1,23,21-30,2,22,7,1,10
No,Travel_Rarely,R&D,Life Sciences,STAFF-1273,Female,Manufacturing Director,Divorced,Yes,4,47,46-55,1,1001,4,Near-by,Bachelor's Degree,3,92,2,3,2,Satisfied,10333,19271,8,12,3,High,3,1,28,21-30,3,22,11,14,10
No,Travel_Rarely,R&D,Medical,STAFF-1274,Female,Laboratory Technician,Divorced,Yes,2,49,46-55,1,464,16,Very-far,Bachelor's Degree,4,74,3,1,1,Very Satisfied,2587,24941,4,16,3,High,2,1,17,11.- 20,2,2,2,2,2
No,Travel_Rarely,R&D,Medical,STAFF-1275,Female,Laboratory Technician,Divorced,Yes,4,31,26-35,1,1276,24,Very-far,High School,4,59,1,1,4,utterly unsatisfied,1129,17536,1,11,3,High,3,3,1,0-10,3,1,0,0,0
No,Travel_Rarely,R&D,Other,STAFF-1276,Female,Manufacturing Director,Married,Yes,2,35,26-35,1,219,16,Very-far,Associates Degree,4,44,2,2,2,Satisfied,4788,25388,0,11,3,High,4,0,4,0-10,3,3,2,0,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-1277,Female,Research Scientist,Married,Yes,3,26,26-35,1,482,17,Very-far,Associates Degree,2,90,2,1,3,Unsatisfied,2933,14908,1,13,3,High,3,1,1,0-10,2,1,0,1,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-1278,Female,Manufacturing Director,Married,Yes,3,40,36-45,1,369,8,Near-by,Associates Degree,2,92,3,2,1,Very Satisfied,6516,5041,2,16,3,High,2,1,18,11.- 20,3,1,0,0,0
No,Travel_Rarely,R&D,Medical,STAFF-1279,Female,Healthcare Representative,Married,Yes,6,33,26-35,1,501,15,Far,Associates Degree,2,95,3,2,4,utterly unsatisfied,4878,21653,0,13,3,High,1,1,10,0-10,3,9,7,8,1
No,Travel_Rarely,R&D,Life Sciences,STAFF-1280,Female,Healthcare Representative,Married,Yes,3,49,46-55,1,465,28,Very-far,High School,3,41,2,4,3,Unsatisfied,13966,11652,2,19,3,High,2,1,30,21-30,3,15,11,2,12
No,Travel_Rarely,R&D,Life Sciences,STAFF-1281,Female,Healthcare Representative,Married,Yes,2,44,36-45,1,921,24,Very-far,Bachelor's Degree,3,96,4,3,4,utterly unsatisfied,7879,14810,1,19,3,High,2,1,9,0-10,3,8,7,6,7
No,Travel_Rarely,R&D,Medical,STAFF-1282,Female,Manufacturing Director,Married,Yes,6,38,36-45,1,397,24,Very-far,Associates Degree,4,54,2,3,3,Unsatisfied,7756,14199,3,19,3,High,4,1,10,0-10,4,5,4,0,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-1283,Female,Manufacturing Director,Married,Yes,2,36,36-45,1,559,27,Very-far,Master's Degree,3,76,3,2,3,Unsatisfied,4663,12421,9,12,3,High,2,2,7,0-10,3,3,2,1,1
No,Travel_Rarely,R&D,Medical,STAFF-1284,Female,Healthcare Representative,Single,Yes,4,35,26-35,1,670,10,Near-by,Master's Degree,1,51,3,2,3,Unsatisfied,6142,4223,3,16,3,High,3,0,10,0-10,3,5,2,0,4
No,Travel_Rarely,R&D,Medical,STAFF-1285,Female,Laboratory Technician,Single,Yes,3,45,36-45,1,1015,33,Very-far,Doctoral Degree,3,50,1,2,1,Very Satisfied,5769,23447,1,14,3,High,1,0,10,0-10,3,10,7,1,4
No,Travel_Rarely,R&D,Medical,STAFF-1286,Female,Manufacturing Director,Single,Yes,3,54,46-55,1,157,10,Near-by,Bachelor's Degree,3,77,3,2,1,Very Satisfied,4440,25198,6,19,3,High,4,0,9,0-10,3,5,2,1,4
No,Travel_Rarely,R&D,Life Sciences,STAFF-1287,Female,Manufacturing Director,Single,Yes,2,40,36-45,1,448,16,Very-far,Bachelor's Degree,3,84,3,3,4,utterly unsatisfied,7945,19948,6,15,3,High,4,0,18,11.- 20,2,4,2,3,3
No,Travel_Rarely,Sales,Marketing,STAFF-1288,Female,Sales Executive,Divorced,Yes,3,41,36-45,1,796,4,Near-by,High School,3,81,3,3,3,Unsatisfied,10447,26458,0,13,3,High,4,1,23,21-30,4,22,14,13,5
No,Travel_Rarely,Sales,Medical,STAFF-1289,Female,Sales Executive,Divorced,Yes,2,31,26-35,1,1079,10,Near-by,Associates Degree,3,86,3,2,4,utterly unsatisfied,6583,20115,2,11,3,High,4,1,8,0-10,3,5,2,1,4
No,Travel_Rarely,Sales,Life Sciences,STAFF-1290,Female,Sales Executive,Married,Yes,2,35,26-35,1,1224,19,Very-far,Master's Degree,3,55,3,2,4,utterly unsatisfied,5204,13586,1,11,3,High,4,0,10,0-10,3,10,8,0,9
No,Travel_Rarely,Sales,Medical,STAFF-1291,Female,Sales Executive,Married,Yes,3,34,26-35,1,735,33,Very-far,High School,4,75,2,2,4,utterly unsatisfied,8103,16495,3,12,3,High,3,0,9,0-10,2,4,2,0,1
No,Travel_Rarely,Sales,Technical Degree,STAFF-1292,Female,Sales Executive,Married,Yes,4,36,36-45,1,1266,10,Near-by,Master's Degree,2,63,2,2,3,Unsatisfied,5673,6060,1,13,3,High,1,1,10,0-10,3,10,9,1,7
No,Travel_Rarely,Sales,Medical,STAFF-1293,Female,Sales Executive,Married,Yes,4,47,46-55,1,571,14,Far,Bachelor's Degree,3,78,3,2,3,Unsatisfied,4591,24200,3,17,3,High,3,1,11,11.- 20,2,5,4,1,2
No,Travel_Rarely,Sales,Life Sciences,STAFF-1294,Female,Manager,Married,Yes,2,58,55 Plus,1,605,21,Very-far,Bachelor's Degree,4,72,3,4,4,utterly unsatisfied,17875,11761,4,13,3,High,3,1,29,21-30,2,1,0,0,0
No,Travel_Rarely,Sales,Medical,STAFF-1295,Female,Sales Executive,Married,Yes,3,24,18-25,1,1476,4,Near-by,High School,4,42,3,2,3,Unsatisfied,4162,15211,1,12,3,High,3,2,5,0-10,3,5,4,0,3
No,Travel_Rarely,Sales,Marketing,STAFF-1296,Female,Sales Executive,Single,Yes,3,36,36-45,1,1174,33,Very-far,Master's Degree,1,99,3,2,2,Satisfied,9278,20763,3,16,3,High,4,0,15,11.- 20,3,5,4,0,1
No,Non-Travel,R&D,Life Sciences,STAFF-1297,Male,Healthcare Representative,Divorced,Yes,2,40,36-45,1,1142,8,Near-by,Associates Degree,4,72,3,2,4,utterly unsatisfied,4069,8841,3,18,3,High,3,0,8,0-10,3,2,2,2,2
No,Non-Travel,R&D,Medical,STAFF-1298,Male,Research Scientist,Divorced,Yes,3,31,26-35,1,976,33,Very-far,Associates Degree,3,48,3,1,1,Very Satisfied,3065,3995,1,13,3,High,4,1,4,0-10,4,4,2,2,3
No,Non-Travel,R&D,Life Sciences,STAFF-1299,Male,Laboratory Technician,Married,Yes,2,39,36-45,1,792,17,Very-far,Bachelor's Degree,4,77,3,2,4,utterly unsatisfied,6472,8989,1,15,3,High,4,1,9,0-10,3,9,8,5,8
No,Non-Travel,Sales,Life Sciences,STAFF-1300,Male,Sales Executive,Divorced,Yes,3,34,26-35,1,1375,10,Near-by,Bachelor's Degree,4,87,3,2,3,Unsatisfied,4001,12313,1,14,3,High,3,1,15,11.- 20,3,15,14,0,7
No,Travel_Frequently,HR,Human Resources,STAFF-1301,Male,Human Resources,Married,Yes,3,44,36-45,1,602,17,Very-far,Doctoral Degree,1,37,3,2,4,utterly unsatisfied,5743,10503,4,11,3,High,3,0,14,11.- 20,3,10,7,0,2
No,Travel_Frequently,HR,Other,STAFF-1302,Male,Human Resources,Married,Yes,2,38,36-45,1,1444,17,Very-far,Master's Degree,4,88,3,1,2,Satisfied,2991,5224,0,11,3,High,2,1,7,0-10,3,6,2,1,2
No,Travel_Frequently,R&D,Life Sciences,STAFF-1303,Male,Research Director,Married,Yes,3,58,55 Plus,1,1216,15,Far,Master's Degree,1,87,3,4,3,Unsatisfied,15787,21624,2,14,3,High,2,0,23,21-30,3,2,2,2,2
No,Travel_Frequently,R&D,Other,STAFF-1304,Male,Research Scientist,Married,Yes,3,34,26-35,1,735,22,Very-far,Master's Degree,3,86,2,2,4,utterly unsatisfied,5747,26496,1,15,3,High,2,0,16,11.- 20,3,15,10,6,11
No,Travel_Frequently,R&D,Life Sciences,STAFF-1305,Male,Laboratory Technician,Married,Yes,3,36,36-45,1,1302,28,Very-far,Master's Degree,1,80,4,2,1,Very Satisfied,5562,19711,3,13,3,High,4,1,9,0-10,3,3,2,0,2
No,Travel_Frequently,R&D,Medical,STAFF-1306,Male,Healthcare Representative,Married,Yes,3,50,46-55,1,1234,20,Very-far,Doctoral Degree,2,41,3,4,3,Unsatisfied,11245,20689,2,15,3,High,3,1,32,30 Plus,3,30,8,12,13
No,Travel_Frequently,R&D,Life Sciences,STAFF-1307,Male,Healthcare Representative,Married,Yes,3,42,36-45,1,288,24,Very-far,Bachelor's Degree,4,40,3,3,4,utterly unsatisfied,10124,18611,2,14,3,High,3,1,24,21-30,1,20,8,13,9
No,Travel_Frequently,R&D,Life Sciences,STAFF-1308,Male,Healthcare Representative,Married,Yes,2,35,26-35,1,1199,18,Very-far,Master's Degree,3,80,3,2,3,Unsatisfied,5689,24594,1,14,3,High,4,2,10,0-10,4,10,2,0,2
No,Travel_Frequently,R&D,Medical,STAFF-1309,Male,Research Scientist,Single,Yes,2,35,26-35,1,146,24,Very-far,Master's Degree,1,79,2,1,4,utterly unsatisfied,4930,13970,0,14,3,High,3,0,6,0-10,4,5,4,1,4
No,Travel_Frequently,R&D,Medical,STAFF-1310,Male,Manufacturing Director,Single,Yes,2,44,36-45,1,1193,24,Very-far,High School,2,86,3,3,3,Unsatisfied,10209,19719,5,18,3,High,2,0,16,11.- 20,2,2,2,2,2
No,Travel_Frequently,R&D,Medical,STAFF-1311,Male,Research Director,Single,Yes,2,50,46-55,1,333,22,Very-far,Doctoral Degree,3,88,1,4,4,utterly unsatisfied,14411,24450,1,13,3,High,4,0,32,30 Plus,3,32,6,13,9
No,Travel_Frequently,R&D,Life Sciences,STAFF-1312,Male,Healthcare Representative,Single,Yes,5,29,26-35,1,461,17,Very-far,Bachelor's Degree,4,70,4,2,3,Unsatisfied,6294,23060,8,12,3,High,4,0,10,0-10,4,3,2,0,2
No,Travel_Frequently,Sales,Life Sciences,STAFF-1313,Male,Sales Executive,Married,Yes,2,28,26-35,1,783,17,Very-far,Associates Degree,3,42,2,2,4,utterly unsatisfied,6834,19255,1,12,3,High,3,1,7,0-10,3,7,7,0,7
No,Travel_Rarely,HR,Human Resources,STAFF-1314,Male,Manager,Married,Yes,0,55,46-55,1,189,26,Very-far,Master's Degree,3,71,4,5,2,Satisfied,19636,25811,4,18,3,High,1,1,35,30 Plus,3,10,9,1,4
No,Travel_Rarely,R&D,Medical,STAFF-1315,Male,Healthcare Representative,Divorced,Yes,2,45,36-45,1,1038,20,Very-far,Bachelor's Degree,2,95,1,3,1,Very Satisfied,10851,19863,2,18,3,High,2,1,24,21-30,3,7,7,0,7
No,Travel_Rarely,R&D,Medical,STAFF-1316,Male,Research Director,Divorced,Yes,3,46,46-55,1,734,24,Very-far,Master's Degree,3,46,3,5,4,utterly unsatisfied,19328,14218,7,17,3,High,3,1,24,21-30,3,2,1,2,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-1317,Male,Research Scientist,Divorced,Yes,3,42,36-45,1,557,18,Very-far,Master's Degree,4,35,3,2,1,Very Satisfied,5410,11189,6,17,3,High,3,1,9,0-10,2,4,3,1,2
No,Travel_Rarely,R&D,Other,STAFF-1318,Male,Laboratory Technician,Divorced,Yes,2,25,18-25,1,977,24,Very-far,High School,4,57,3,1,3,Unsatisfied,3977,7298,6,19,3,High,3,1,7,0-10,2,2,2,0,2
No,Travel_Rarely,R&D,Medical,STAFF-1319,Male,Research Scientist,Married,Yes,5,41,36-45,1,1283,33,Very-far,Doctoral Degree,2,90,4,1,3,Unsatisfied,2127,5561,2,12,3,High,1,0,7,0-10,2,4,2,0,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-1320,Male,Healthcare Representative,Married,Yes,2,55,46-55,1,1229,4,Near-by,Master's Degree,4,30,3,2,3,Unsatisfied,4035,16143,0,16,3,High,2,0,4,0-10,3,3,2,1,2
No,Travel_Rarely,R&D,Medical,STAFF-1321,Male,Healthcare Representative,Married,Yes,2,38,36-45,1,833,18,Very-far,Bachelor's Degree,2,60,1,2,4,utterly unsatisfied,5811,24539,3,16,3,High,3,1,15,11.- 20,3,1,0,1,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-1322,Male,Laboratory Technician,Married,Yes,3,33,26-35,1,589,28,Very-far,Master's Degree,2,79,3,2,3,Unsatisfied,5207,22949,1,12,3,High,2,1,15,11.- 20,3,15,14,5,7
No,Travel_Rarely,R&D,Other,STAFF-1323,Male,Laboratory Technician,Married,Yes,2,29,26-35,1,1378,13,Far,Associates Degree,4,46,2,2,2,Satisfied,4025,23679,4,13,3,High,1,1,10,0-10,3,4,3,0,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-1324,Male,Healthcare Representative,Married,Yes,1,36,36-45,1,1383,10,Near-by,Bachelor's Degree,4,90,3,3,1,Very Satisfied,8321,25949,7,13,3,High,4,1,15,11.- 20,3,12,8,5,7
No,Travel_Rarely,R&D,Medical,STAFF-1325,Male,Laboratory Technician,Married,Yes,3,35,26-35,1,1490,21,Very-far,Master's Degree,4,43,3,1,3,Unsatisfied,2660,20232,7,11,3,High,3,1,5,0-10,3,2,2,2,2
No,Travel_Rarely,R&D,Technical Degree,STAFF-1326,Male,Manufacturing Director,Married,Yes,4,45,36-45,1,1448,29,Very-far,Bachelor's Degree,2,55,3,3,4,utterly unsatisfied,9380,14720,4,18,3,High,4,2,10,0-10,4,3,1,1,2
No,Travel_Rarely,R&D,Medical,STAFF-1327,Male,Research Scientist,Married,Yes,3,34,26-35,1,181,24,Very-far,Master's Degree,4,97,4,1,4,utterly unsatisfied,2932,5586,0,14,3,High,1,3,6,0-10,3,5,0,1,2
